ecotype id	nativename	170_Anthocyanin 10	171_Anthocyanin 16	172_Anthocyanin 22	77_LES	78_YEL 	79_LY 	167_Chlorosis 10	168_Chlorosis 16	169_Chlorosis 22	176_Leaf roll 10	177_Leaf roll 16	178_Leaf roll 22	8_Seed Dormancy	277_Secondary Dormancy	281_Storage 7 days	282_Storage 28 days	283_Storage 56 days	179_Rosette Erect 22	1_LD	2_LDV	3_SD	4_SDV	5_FT10	6_FT16	7_FT22	43_FLC	44_FRI	33_<i>avrRpm1</i>	34_<i>avrRpt2</i>	35_<i>avrB</i>	161_Germ 10	162_Germ 16	163_Germ 22	278_Germ in dark	279_DSDS50	273_Vern Growth	274_After Vern Growth	60_FT Duration GH	61_LC Duration GH	62_LFS GH	63_MT GH	64_RP GH	158_Silique 16	159_Silique 22	
6916	Est-1	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	9.0	2.28111	0.0	30.9537	78.6583	0.0	25.5	27.1667	89.6875	68.3333	63.0	35.0	26.0	0.073	1.3893	1.0	1.0	1.0	7.0	4.0	3.0	0.0	36.94	0.00143809	0.065165	24.5358	66.9909	49.2125	17.6552	41.5071	1.8	1.3	
6917	Fäb-2	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	NA	2.38095	100.0	100.0	100.0	0.0	200.0	52.0	200.0	171.5	121.0	222.0	230.0	1.287	1.8538	1.0	1.0	1.0	7.0	4.0	4.0	0.0	3.5	0.00686527	0.0929609	NA	NA	NA	NA	NA	1.4	0.9	
6918	Fäb-4	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	NA	2.38095	95.25	100.0	100.0	0.0	200.0	53.0	200.0	200.0	108.0	135.0	250.0	0.951	1.8848	0.0	1.0	0.0	5.0	3.0	3.0	-5.07e-15	3.70525	0.00308827	0.0643379	NA	NA	NA	NA	NA	1.5	0.9	
6919	Ga-0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	47.0	1.02e-16	1.68e-16	1.26e-14	-2.63e-14	0.0	34.6667	24.3333	101.542	49.5	71.0	46.0	47.0	0.7	0.396	0.0	1.0	0.0	7.0	4.0	2.0	74.7469	NA	0.00224457	0.0724796	21.2413	66.5972	51.4199	16.0205	36.7935	1.9	1.4	
6920	Got-22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	57.0	0.035014	0.25	0.5	60.7948	1.0	157.681	44.6667	200.0	66.1667	71.0	98.0	75.0	0.802	0.9328	1.0	1.0	1.0	5.0	3.0	2.0	64.561	52.3452	0.0125543	0.158697	38.7135	125.834	109.776	17.2558	55.8976	1.5	1.0	
6921	Got-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	61.0	0.148809	0.0	0.0	65.8889	1.0	162.514	41.6667	200.0	71.0	64.0	98.0	93.0	0.835	0.9747	1.0	1.0	1.0	5.0	3.0	2.0	79.6053	76.5499	0.00240145	0.0657992	11.9388	129.321	128.717	5.87399	20.7562	1.5	1.0	
6922	Gu-0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.01294	1.17	2.75	64.0081	0.0	27.5	25.0	70.1667	45.0	48.0	31.0	32.0	0.125	1.0577	1.0	1.0	1.0	5.0	3.0	2.0	96.9697	54.5074	0.00488398	0.0953724	20.175	68.5261	46.1646	22.5222	42.5834	1.6	1.1	
6923	HR-10	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	43.0	NA	0.0	0.0	0.75	1.0	25.1667	23.0	106.375	59.8	44.0	42.0	31.0	0.289	0.9374	1.0	1.0	1.0	5.0	3.0	3.0	NA	249.489	0.00916443	0.187755	17.9923	59.8314	42.6722	16.8704	34.7265	1.3	0.9	
6924	HR-5	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	58.0	NA	1.69e-17	0.5	2.51225	0.0	28.8333	24.3333	84.1806	48.3333	49.0	40.0	47.0	0.071	1.0266	1.0	0.0	1.0	5.0	3.0	3.0	NA	90.4933	0.000508483	0.0227967	19.6054	63.0842	48.975	13.9254	33.6305	1.2	0.9	
6926	Kin-0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	51.0	0.21536	0.0	0.25	1.67045	1.0	31.6667	22.6667	84.6736	35.8333	49.0	45.0	41.0	0.383	0.6407	0.0	0.0	0.0	5.0	3.0	2.0	63.0065	75.9288	0.00885841	0.159702	22.1248	62.0749	52.3083	9.46724	31.7827	1.5	1.0	
